id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18844075,Sea Point studio near beach,63202371,Scott,,Ward 54,-33.91088,18.39519,Entire home/apt,1134,20,137,2020-03-23,3.96,75,198
18845664,"Private, Modern and secure self-catering Cottage",47164758,Lauren,,Ward 71,-34.05858,18.45057,Entire home/apt,418,2,13,2020-03-06,0.39,2,365
18848155,Comfortable Family Home in the Heart of  City Bowl,8825242,Lauren,,Ward 77,-33.93471,18.42215,Entire home/apt,3963,5,1,2018-01-03,0.03,1,0
18849727,Quaint Victorian Cottage +2 cats in Cape Town CBD,76586763,Storm,,Ward 77,-33.93685,18.41702,Entire home/apt,1344,5,3,2018-11-12,0.10,1,180
18850149,Space for the whole family in the ideal location!,131304609,Piet,,Ward 11,-33.9183,18.68363,Entire home/apt,1497,5,2,2018-12-31,0.07,1,0
18850191,Durbanville Winelands,130267506,Sandy,,Ward 112,-33.82761,18.64319,Entire home/apt,1497,7,0,,,1,0
18852035,Sweeping Views Spacious Top floor apartment!!!,53668898,Wian,,Ward 115,-33.93233,18.40791,Entire home/apt,1004,1,7,2019-04-29,0.19,1,174
18852415,A Mountain-view Apartment in gorgeous Cape Town,131324928,Amrish,,Ward 59,-33.9644,18.46786,Entire home/apt,1004,2,5,2018-01-01,0.14,1,0
18854062,"A tranquil house, Double Bed, close to Beach",131340534,Daniela,,Ward 107,-33.80709,18.50105,Private room,749,2,1,2018-09-09,0.05,1,88
18856670,Atlantic Sunset House - 4 Persons,131339701,Tienie And Rinda,,Ward 23,-33.70886,18.44661,Private room,1498,10,0,,,4,268
18859876,Perfect CT home for student or business travellers,75862372,Sarah,,Ward 77,-33.94091,18.42349,Private room,247,10,0,,,1,0
18860356,Cape Town - Eclectic Woodstock Cottage,28917565,Dolli & Volker,,Ward 115,-33.92873,18.4548,Entire home/apt,855,2,21,2020-03-06,0.61,1,182
18860440,Bakoven bungalow on the beach,13212606,Jacey,,Ward 54,-33.95962,18.3726,Entire home/apt,7001,4,2,2020-01-04,0.12,2,362
18861020,Unit E - 80 Kendal,34174006,Peter,,Ward 21,-33.86184,18.65263,Entire home/apt,1306,1,0,,,11,364
18861711,Bachelors flat nita,130407896,Johanita,,Ward 8,-33.88953,18.69977,Entire home/apt,557,1,1,2019-01-02,0.06,1,89
18861786,Unit A - 80 Kendal,34174006,Peter,,Ward 21,-33.86365,18.65232,Entire home/apt,1550,1,0,,,11,364
18862053,Unit D - 80 Kendall,34174006,Peter,,Ward 21,-33.86323,18.65455,Entire home/apt,1358,1,0,,,11,364
18862341,Unit F - 80 Kendall,34174006,Peter,,Ward 21,-33.86226,18.65419,Entire home/apt,1358,1,0,,,11,364
18862639,Unit B - 80 Kendall,34174006,Peter,,Ward 21,-33.8638,18.65451,Entire home/apt,1358,1,0,,,11,364
18862832,Unit 1 - Durbanmist,34174006,Peter,,Ward 105,-33.81629,18.66281,Entire home/apt,1203,1,0,,,11,365
18862838,De Akker,57350318,Estee,,Ward 2,-33.89652,18.62623,Private room,847,2,0,,,1,363
18863062,Unit 2 - Durbanmist,34174006,Peter,,Ward 105,-33.81523,18.66332,Entire home/apt,1202,1,0,,,11,365
18863289,Unit 3 - Durbanmist,34174006,Peter,,Ward 105,-33.81577,18.66227,Entire home/apt,949,1,0,,,11,0
18863438,Unit 4 - Durbanmist,34174006,Peter,,Ward 105,-33.81709,18.6632,Entire home/apt,958,1,0,,,11,365
18863833,Unit 6 - Durbanmist,34174006,Peter,,Ward 105,-33.81716,18.66314,Entire home/apt,2507,2,1,2017-08-02,0.03,11,365
18866316,Flamingo Lagoon 2 Sleeper,118950798,Pamela,,Ward 64,-34.102,18.47009,Entire home/apt,508,2,11,2020-03-04,0.31,2,364
18866702,Newlands Flatlet,131447131,Sam,,Ward 59,-33.97483,18.46172,Entire home/apt,855,1,5,2020-02-14,0.20,1,362
18867439,STUNNING LAKE HOLIDAY UNIT - Wheelchair friendly,8547867,Hilly,,Ward 69,-34.1236,18.37349,Entire home/apt,958,7,0,,,13,364
18872245,Cosy Cottage,56046139,Matthew,,Ward 73,-34.02071,18.46312,Entire home/apt,558,2,63,2020-03-27,1.76,2,363
18874945,Swallow's Nest,86830743,Ellen,,Ward 15,-34.06547,18.84966,Entire home/apt,593,2,3,2020-02-16,0.09,1,226
18879148,Unique Character Amazing Mountain view,63202371,Scott,,Ward 115,-33.92556,18.41669,Entire home/apt,1022,2,127,2020-03-28,3.62,75,221
18880952,Top Rated @ The Muize,40271582,The,,Ward 64,-34.1028,18.47546,Hotel room,925,1,10,2019-12-10,0.36,4,346
18881855,Modern City Life Apartment with Mountain Views,2516345,Jaco,,Ward 115,-33.92525,18.41431,Entire home/apt,705,3,6,2020-02-15,0.21,66,360
18886252,"The Pool House, Free WiFi Garden Setting",105996964,Axel,,Ward 107,-33.82513,18.48445,Entire home/apt,1306,6,11,2019-01-15,0.34,4,170
18887785,Stylish House with Shared Pool and Table Mountain Views,105996964,Axel,,Ward 107,-33.82531,18.48548,Entire home/apt,1202,6,12,2019-08-01,0.37,4,303
18889285,Superb Art Deco Loft Apartment with pool & garden,9722915,Tom,,Ward 115,-33.90934,18.39816,Entire home/apt,1797,5,5,2019-12-27,0.16,1,350
18903938,Beach House with spectacular views -  Free Wifi,23458834,Sonja,,Ward 23,-33.8004,18.46202,Entire home/apt,3204,5,5,2020-01-02,0.17,1,137
18906041,Luxury Townhouse with Ocean and Mountain Views,28802509,Willem,,Ward 54,-33.94823,18.38102,Entire home/apt,3001,1,48,2020-03-13,1.38,3,348
18907280,Plunge Pool in a Beautiful Apartment in Bantry Bay,107113584,Jarrad,,Ward 54,-33.9284,18.37736,Entire home/apt,8493,2,61,2020-02-23,1.92,3,359
18908535,"Sleep Inn Self Catering - Sunset Beach, Cape Town",131775936,Antonette,,Ward 4,-33.85054,18.49376,Private room,644,3,0,,,1,365
18911205,"Brand New, Modern Guest Suite in Camps Bay",131796856,Adrian,,Ward 54,-33.95341,18.38199,Entire home/apt,942,1,149,2020-03-20,4.15,6,365
18919134,"Spacious Family Home near Constantia, Cape Town",48221865,Roxanne,,Ward 73,-34.03399,18.44992,Entire home/apt,2908,7,5,2020-01-06,0.17,1,197
18919285,South Beach Camps Bay - Deluxe Suite 14,5011034,Kerri And Kelly From Blue Views,,Ward 54,-33.9571,18.3783,Private room,2608,1,0,,,14,365
18919753,KALK BAY CHARACTER APARTMENT,47603662,Theresa,,Ward 64,-34.1287,18.44642,Entire home/apt,697,7,3,2018-07-02,0.10,2,146
18920122,South Beach Camps Bay - Deluxe Suite 17,5011034,Kerri And Kelly From Blue Views,,Ward 54,-33.95696,18.37827,Private room,2608,1,0,,,14,365
18921003,Peaceful and relaxing home in the Deep South,131881129,Haidi,,Ward 61,-34.15352,18.40235,Entire home/apt,1863,7,0,,,1,358
18923598,"Light, Clean and Spacious with Unparalleled Views",3657136,Frankie,,Ward 77,-33.938,18.42016,Private room,581,2,1,2018-01-10,0.03,2,0
18924560,Beachaven Kommetjie,114610056,Sarah,,Ward 61,-34.13478,18.33464,Entire home/apt,2508,3,19,2019-11-23,0.53,4,216
18934676,A break away from the city!,126283934,Melisha,,Ward 85,-34.11747,18.84105,Entire home/apt,592,2,0,,,1,90
18950426,Holiday in Our Stylish Cape Town Apartment,15054619,Mike,,Ward 115,-33.90954,18.41477,Entire home/apt,3506,3,68,2020-03-17,1.87,1,353
18952486,VERY CONVIEN AND CLOSE TO EVERYTHIN,128541720,Mark,,Ward 115,-33.91811,18.42473,Entire home/apt,1004,2,0,,,1,83
18952870,Lovely Private Garden Apartment,119059288,Andre,,Ward 2,-33.89409,18.62286,Entire home/apt,401,5,4,2018-06-01,0.14,1,70
18956249,Two spacious ensuite bedrooms,63458575,Catherine,,Ward 73,-34.02448,18.45094,Private room,1480,2,0,,,3,89
18967136,PROTEA 3 BEDROOM APT AMAZING SEA AND HARBOUR VIEWS,2346675,Ayesha,,Ward 57,-33.93701,18.44632,Entire home/apt,2984,3,0,,,8,184
18967343,CAPE ALOE LUXURY 1 BEDROOM APARTMENT,2346675,Ayesha,,Ward 57,-33.93701,18.44632,Entire home/apt,1291,3,0,,,8,205
18969145,Wonderful New Beach Cottage,42398168,Teager,,Ward 74,-34.00773,18.34237,Entire home/apt,1356,6,1,2017-12-08,0.03,4,0
18969596,Modern comfortable family home close to beach.,52071941,Julius,,Ward 83,-34.10643,18.82755,Entire home/apt,2994,5,0,,,1,0
18970983,Spacious family haven in the heart of Camps Bay!,132318487,Cathy,,Ward 54,-33.94924,18.38644,Entire home/apt,2007,3,39,2020-03-06,1.27,2,351
18973684,Large room & private shower/basin in N. Suburbs,89651884,Brandon,,Ward 11,-33.94557,18.67424,Private room,152,2,7,2020-03-18,0.24,1,308
18981535,Magic Sunset Ocean Views Pool & BBQ & WiFi & DSTV,21180869,Jodi,,Ward 54,-33.92051,18.3907,Entire home/apt,6008,7,0,,,10,364
